Toss,Bat,Venue,RelativeRunsPerInn,RelativeAve,RelativeSR,RelAvgEcon,RelBowlAvAverage,RelAvgWkPerInn,RelBowlAvgSR,RelAvgCatch,RelAvg100,Rel4WkHauls,RelBatAvg,Result
0,1,1,5.4991175,6.44545455,4.69,0.442638889,7.96446429,-0.475058734,7.07321429,0.033002807,-0.018370247,-22,2.079465503,0
0,1,1,-5.02688935,-7.39590909,-9.67636363,0.475555556,4.48928571,-0.279723047,2.625,0.046077844,0.027493214,-3,-3.01870142,0
0,2,1,-1.95438282,-3.44563636,-4.16363637,0.511111111,4.8025,-0.212868626,3.58571429,0.172245475,0.012179716,1,-1.504949719,0
1,2,1,-0.37377884,0.13636363,1.15909091,0.02375,3.89142857,-0.203841932,5.35714285,0.074129285,0.026825193,7,0.94049948,1
1,2,1,0.22237065,-0.74436364,0.33545454,0.165,2.44017857,-0.035795708,1.6375,-0.004220202,0.027908361,1,0.454056294,1
0,2,1,0.05666768,-1.44136364,2.65181818,0.30875,3.42571429,-0.164574814,0.12857143,0.062742274,0.022866155,0,0.45862979,1
0,2,0,4.90396979,5.88636364,1.23636363,1.484444445,-12.62746032,-0.170946526,-17.34603175,-0.054353947,0.003024274,-19,1.79317026,1
1,1,1,3.65373893,5.14181818,3.53727273,0.99,-9.47714286,-0.296085998,-10.57142857,-0.006629059,0.006438628,-4,1.47742592,1
0,2,0,1.9139704,0.19363636,5.11,1.093444444,-7.66071429,-0.146945234,-8.14285714,-0.109879334,0.019625446,-21,0.63674407,1
1,1,0,7.28562813,9.29454545,8.78181818,0.682222222,4.24875,-0.264533601,4.225,0.075252171,0.023291817,7,2.64535639,1
1,1,0,-1.61103886,-2.03,2.77181819,0.512222222,-9.90035714,0.066005235,-11.3125,-0.086090112,0.024745628,11,-0.42684019,0
0,2,0,0.92320555,1.21,15.23909091,1.164444445,2.47428571,0.170658964,-0.18571429,-0.045263482,0.006283768,20,1.01393964,1
1,2,0,1.54987067,2.22727273,9.92090909,1.272666667,-7.53460318,0.059900016,-8.31746032,-0.060368557,0.005667481,0,0.98878803,1
0,1,1,5.10807141,6.71363637,18.21181819,0.024027778,-6.15666667,0.122472968,-7.62380953,0.010059056,0.008304081,4,2.641653074,1
1,2,1,1.17575023,-0.60272727,-1.49636364,-0.656528,-3.07571143,0.116999726,-4.45714429,-0.030907559,0.019958991,5,-0.30896285,0
0,2,1,0.7447454,-1.29454545,-3.37090909,-0.369305556,-3.74857142,0.131931734,-5.64285714,-0.000904564,0.010160932,11,-0.61996166,0
0,2,1,-2.60467996,-6.01454545,-5.39181818,-0.748888889,-0.35803571,-0.033767594,0.08035714,-0.01476971,0.0224007,8,-1.90659147,1
1,1,1,0.58066211,-4.86190909,-13.30636364,-0.585277778,0.67178571,-0.385537907,1.83571429,-0.033196098,0.017793349,14,-1.82214628,1
0,2,1,0.20500292,-5.93690909,-19.41090909,-0.6075,1.04017857,-0.173463399,2.44464286,-0.024780249,0.018641455,14,-2.06613326,0
